"Företagsnamn","Organisationsnummer","Telefonnummer","Adress"
"Colosseum Smile AB","556689-2864","","Gustavslundsvägen 151 e Plan 7, 167 51 Bromma"
"Agneta Vestergren Leg. Tandhygienist","556435-7688","070-543 65 77","Petrejusvägen 18, 12138 JOHANNESHOV"
"Praktikertjänst Aktiebolag","556077-2419","08-789 40 00","Adolf Fredriks Kyrkogata 9 a, 111 37 Stockholm"
"Bita Dental Consult AB","559451-7111","","Nordostpassagen 36, 413 11 Göteborg"
"Folktandvården Stockholms län AB","556574-3597","08-123 166 00","Magnus Ladulåsgatan 65, 118 27 Stockholm"
"Folktandvården Skåne AB","556936-0828","077-155 88 00","Vävaregatan 21, 222 36 Lund"
"Aqua Dental AB","556812-1189","010-188 00 00","Vasagatan 12, 111 20 Stockholm"
"Distriktstandvården Sverige AB","556437-5946","08-597 603 89","Gustavslundsvägen 151 f, 167 51 Bromma"
"Folktandvården Sörmland AB","556820-2625","0155-24 50 00","Brunnsgatan 40, 611 32 Nyköping"
"KIBO Aktiebolag","556635-4402","","Ringvägen 14 Lgh 1403, 117 26 Stockholm"
"Folktandvården Gävleborg AB","556702-1836","026-15 76 10","Norra Skeppsbron 15 a, 803 10 Gävle"
"H.F. Oral Care Aktiebolag","556346-4840","010-484 86 00","Arenavägen 55 7tr, 121 77 Johanneshov"
"Oris Dental Sverige AB","556672-0958","040-622 94 61","Helmfeltsgatan 2, 211 48 Malmö"
"Folktandvården Västmanland AB","556766-5574","021-17 46 80","Norra Källgatan 26, 722 11 Västerås"
"Aqua Dental MD AB","559030-5909","031-726 11 00","Rålambsvägen 10 a, 112 59 Stockholm"
"Tandläkargruppen Täby Centrum AB","556749-4397","08-758 50 40","Stora Marknadsvägen 15, 183 34 Täby"
"Swedish Dental Dentalum AB","556708-2317","","Kungsholmstorg 8, 112 21 Stockholm"
"Flexident AB","556832-1425","08-562 972 77","Gårdsfogdevägen 18 b, 168 67 Bromma"
"OraSolv Clinics AB","556757-3612","076-945 89 39","Stampgatan 14, 411 01 Göteborg"
"City Dental i Stockholm AB","556680-5478","","Drottninggatan 27, 111 51 Stockholm"
"Tandvårdshuset i Älmhult AB","556765-8652","0476-133 88","Danska Vägen 7, 343 31 Älmhult"
"Oris Dental Göinge Privattandvård AB","556434-6137","","Påls Väg 4, 289 31 Knislinge"
"Oral Care Kungsbacka AB","556686-1703","","Gamla Göteborgsvägen 5, 434 41 Kungsbacka"
"DrSmile Sverige AB","559314-8454","","Nybrogatan 16, 114 39 Stockholm"
"Tandläkarna Dellborg & Nordin AB","556638-9879","0653-161 60","Storgatan 12, 824 71 Delsbo"
"Estetik Centrum Sverige AB","559048-9810","","Studentgatan 6, 211 38 Malmö"
"Luxadent AB","559252-9886","","Stockholm"
"Tandläkarhuset Enköping AB","556945-8648","0171-42 81 60","Kryddgårdsgatan 21 a, 749 35 Enköping"
"Skellefteå Tandvård AB","559158-3181","","Kanalgatan 32, 931 31 Skellefteå"
"Bene Tandvård AB","556944-6452","08-611 65 60","Artillerigatan 16, 114 51 Stockholm"
"Aqua Dental Specialistklinik Stockholm AB","556855-8836","010-188 00 00","Saltmätargatan 22, 113 59 Stockholm"
"Malmö Tandläkarcenter AB","559012-2049","","Södra Förstadsgatan 44, 211 43 Malmö"
"PG Dental AB","556859-4781","","Backavägen 25, 214 32 Malmö"
"Karlatandläkarna AB","556832-0245","08-611 90 50","Grev Turegatan 60, 114 38 Stockholm"
"Dentalum Tandvårdsteam AB","559007-1063","08-718 22 80",""
"Södertandläkarna AB","556365-6577","08-643 15 77","Folkungagatan 49, 116 22 Stockholm"
"T4 Familjetandvård AB","556785-2529","","Löjtnant Granlunds Väg 2, 281 52 Hässleholm"
"Muntra AB","556935-2726","08-409 068 90","Narvavägen 12, 115 22 Stockholm"
"Active Dental Sweden AB","559264-1624","","Ynglingavägen 1 Bv, 177 57 Järfälla"
"Specialisttandvården Kronan AB","559233-0616","","Landsvägen 39, 172 63 Sundbyberg"
"Stångå Tandklinik AB","556875-1993","073-503 93 36","Nygatan 11, 582 19 Linköping"
"Solna Dental AB","556759-7587","08-553 939 99","Huvudstagatan 1 b, 171 44 Solna"
"Tandhälsovården i Gävle AB","559267-0052","026-12 50 00","Lantmäterigatan 2 a, 802 64 Gävle"
"SMAJLA Dental AB","556943-7006","","Gustavslundsvägen 151 e Plan 7, 167 51 Bromma"
"AMA Dental AB","559198-3845","","Broddgränd 9, 129 46 Hägersten"
"No.8 Ortodonti AB","559303-6592","","Narvavägen 8, 115 23 Stockholm"
"Landalatandläkarna AB","556649-7946","031-16 58 81","Kapellplatsen 3, 411 31 Göteborg"
"AuraDent AB","559307-7893","","Artillerigatan 27, 114 45 Stockholm"
"Tandcentrum Sverige AB","559310-0919","","Våxnäsgatan 148, 653 43 Karlstad"
"Oral Care Särö AB","556401-9189","031-93 60 60","Furubergsvägen 3 Särö Centrum, 429 41 Särö"
"TandCity Sweden AB","559073-2557","040-23 66 00","Hamngatan 1, 211 22 Malmö"
"Kungsbrotandläkarna AB","556898-0196","","Kungsgatan 26 b, 961 34 Boden"
"Tandläkarna Wiklund Sundsvall AB","556829-8623","","Thulegatan 14, 852 32 Sundsvall"
"Tandläkarna Wiklund Härnösand AB","556987-7276","0611-126 55","Köpmangatan 14, 871 30 Härnösand"
"Stjärntandläkarna i Västra Hamnen AB","559117-4429","031-80 06 65","Stampgatan 14, 411 01 Göteborg"
"AhiDent AB","559324-5136","","Järfällavägen 106, 177 41 Järfälla"
"Tandläkarhuset Spånga AB","559345-6527","","Spånga Torgväg 9, 163 51 Spånga"
"Lindstrom Dental AB","559158-1144","","Geijersgatan 8, 216 18 Limhamn"
"Nybrokliniken AB","556271-4161","08-661 04 41","Nybrogatan 44, 114 40 Stockholm"
"Smart Tandvård i Skåne AB","559123-7523","","Tessins Väg 4 a, 217 58 Malmö"
"Imadent Tandvård AB","556995-7227","","Wachtmeisters Väg 9, 213 73 Malmö"
"Erik Lennartsson AB","556969-0737","08-21 21 06","Kungstensgatan 2, 114 25 Stockholm"
"Tandcentralen Sverige AB","556912-2806","","Edvard Griegsgången 13 1tr, 164 32 Kista"
"Tandregleringen Kronan AB","556776-5374","08-564 854 60","Landsvägen 39, 172 63 Sundbyberg"
"Trodenta AB","559236-4045","","Frejgatan 73, 113 26 Stockholm"
"NakStam AB","556968-5158","08-642 03 50","Folkungagatan 78, 116 22 Stockholm"
"Örnen Tandvård AB","556361-1325","0510-627 81","Älvgatan 16, 531 31 Lidköping"
"Swedish Academy for Advanced Clinical Dentistry AB","556605-6064","031-386 92 00","Gruvgatan 8, 421 30 Västra Frölunda"
"Tandvården Habo AB","556431-9100","036-474 60","Kärrsvägen 27, 566 32 Habo"
"Komz AB","559197-4109","","Bråddgatan 9, 602 22 Norrköping"
"M.Mira AB","559095-9465","","Kumla Allé 12, 135 53 Tyresö"
"Motarjemi dental AB","559004-2171","","Kultivatorgatan 3, 424 65 Angered"
"Taga Tandvård AB","556910-1099","","Köpmangatan 3 4tr, 151 71 Södertälje"
"Tandvårdsgruppen Dentista AB","556072-5011","","Prinsgatan 12, 413 05 Göteborg"
"Oskarsson Dental AB","559390-9368","","Stationsgatan 57, 972 34 Luleå"
"Tandhälsan Nälden AB","556976-1587","","Karelsvägen 4, 835 40 Nälden"
"Tandhälsan Kronoberg AB","559376-5307","0476-150 50","Norra Esplanaden 14, 343 30 Älmhult"
"Dentsmile i Sverige AB","556840-4676","08-20 91 40","Kungsgatan 37 4vån, 111 56 Stockholm"
"Tandmottagning Stockholm AB","559063-7053","","Färögatan 33, 164 51 Kista"
"Vasa Viktoria Tandvård AB","559238-5255","","Kungsportsavenyen 30, 411 36 Göteborg"
"Tandvärkstan i Tranemo AB","556674-5591","","Storgatan 9, 514 33 Tranemo"
"HK Chirodonti AB","556906-1236","","Grubbensgatan 2, 702 44 Örebro"
"Eriksbergs Tandvård AB","559030-9430","","Maskingatan 5, 417 64 Göteborg"
"Tandläkarna Holm AB","556825-7488","0480-240 15","Södra Långgatan 8 1tr, 392 32 Kalmar"
"Dentema AB","556925-1167","","Torggatan 7, 811 39 Sandviken"
"Tandläkargruppen i Eslöv AB","556657-3449","","Kanalgatan 41 b, 241 30 Eslöv"
"Hammarfjordkliniken AB","559071-3813","","Mjörnvägen 4, 443 72 Gråbo"
"Rosbecker Dental AB","559029-7254","070-825 71 71","Bassåsvägen 26, 436 55 Hovås"
"Helgtandvården Sverige AB","559355-7332","","Bodholmsgången 4, 127 48 Skärholmen"
"Tandspecialisten Kronoberg AB","559303-9422","","Storgatan 17, 352 30 Växjö"
"Brundins Tandläkarpraktik Aktiebolag","556179-4990","08-28 00 27","Fredsgatan 6 a, 172 33 Sundbyberg"
"Oral Care Tomelilla AB","556630-3649","0417-788 90","Carl Millesgatan 4, 273 30 Tomelilla"
"Oris Dental Nässjö AB","559451-9745","","Fersens Väg 9 Vån 6, 211 42 Malmö"
"Tandläkarna Swanberg AB","556669-2561","0430-54 16 70","Fersens Väg 9 Vån 6, 211 42 Malmö"
"AB Jönköpings Tandbolag","556557-2590","036-34 72 60","Slottsgatan 14, 553 22 Jönköping"
"LÅ Dental AB","559374-5747","","Trädgårdsgatan 8, 931 31 Skellefteå"
"Oral Care Masthuggskliniken AB","556693-9558","031-14 14 17","Barlastgatan 2, 414 63 Göteborg"
"Stockholm Tandläkarcenter AB","559158-5558","","Kungsgatan 72, 111 22 Stockholm"
"Akademitandvården AB","559230-7226","","Kungsgatan 15, 591 30 Motala"
"Helsingborg Royal Clinic AB","559163-2210","","Gasverksgatan 33 a, 252 68 Helsingborg"
"Tandlyftet AB","559098-5247","","Thulevägen 2, 561 32 Huskvarna"
"Tandläkargruppen Elmståhl AB","559247-5023","","Riddaregatan 15, 216 15 Limhamn"
"Shihabi Dental AB","559156-5485","","Carl Krooks Gata 1, 252 18 Helsingborg"
"MK Bright Tandhälsa AB","559196-0926","","Norra Krängevägen 9, 585 99 Linköping"
"Rådhustandläkarna AB","559012-7311","","Fersens Väg 9 Vån 6, 211 42 Malmö"
"Älvsjö Tandvård AB","559089-8598","08-128 545 55","Prästgårdsgränd 4, 125 44 Älvsjö"
"HEL & FIN Tand Linköping AB","556736-9680","","Ågatan 39, 582 22 Linköping"
"Tandläkargruppen Sjöstaden AB","556861-8754","","Kryssargatan 3, 120 63 Stockholm"
"Tandkliniken i Norr AB","559200-3171","","Gustavslundsvägen 151 e Plan 7, 167 51 Bromma"
"WASA TANDKLINIK AB","556764-5808","","Fersens Väg 9 Vån 6, 211 42 Malmö"
"White Tandvård i Malmö AB","556565-1295","040-611 06 61","Gustav Adolfs Torg 8 b, 211 39 Malmö"
"3A Tandvård AB","556899-0427","070-477 50 52","Nordanvindsgatan 2 a, 417 12 Göteborg"
"Tandläkarna Lilla Torg Aktiebolag","556268-6765","","Döbelnsgatan 7, 291 30 Kristianstad"
"C4 tandvård AB","556859-8287","072-311 04 69","Östra Boulevarden 40 1tr, 291 31 Kristianstad"
"Tandläkare Jasmin Kalantari Aktiebolag","556717-9725","08-550 696 00","Polhemsgatan 18 Bv, 152 40 Södertälje"
"RB Tandreglering och Tandvård AB","556646-9085","","Drottninggatan 1 b, 753 10 Uppsala"
"Käkkirurgiska Kliniken Helsingborg AB","559431-0046","","Kungstorget 8, 252 78 Helsingborg"
"Jönköpings och Vaggeryds Tandvård AB","556898-0634","","Särlavägen 18, 554 66 Jönköping"
"Maxo Dental AB","556918-3030","","Norregatan 6, 211 27 Malmö"
"Brånemark Center Göteborg AB","556495-1100","031-778 25 60","Vera Sandbergs Allé 5 a, 411 33 Göteborg"
"Torp Dental AB","559240-8388","","Herrestads Torp 353 Torp Dental Ab, 451 76 Uddevalla"
"Ortodontilund AB","559298-9148","","Hedvig Möllers Gata 17, 223 55 Lund"
"Implant Solutions West AB","559029-4186","","Väverigatan 14, 415 11 Göteborg"
"Birka Tandhälsa Aktiebolag","556632-2060","","Rörstrandsgatan 10, 113 40 Stockholm"
"Jönköpings implantat & tandvård AB","559329-3540","","Lantmätargränd 59, 553 20 Jönköping"
